CustomerID,Lookalike_CustomerID,Similarity_Score
C0001,C0152,0.9968236860714906
C0001,C0174,0.9780163559440436
C0001,C0004,0.8332140770852455
C0002,C0134,0.9845067976857422
C0002,C0159,0.9543193091109782
C0002,C0106,0.7838588891964066
C0003,C0129,0.978888157983832
C0003,C0031,0.9633222749732753
C0003,C0195,0.9120184889786657
C0004,C0001,0.8332140770852455
C0004,C0152,0.8265845081314959
C0004,C0174,0.7928015843260319
C0005,C0007,0.9745353605728244
C0005,C0140,0.9148621692183753
C0005,C0128,0.768327571915553
C0006,C0187,0.950025264969633
C0006,C0108,0.6649640319717572
C0006,C0076,0.5974779394134863
C0007,C0005,0.9745353605728244
C0007,C0140,0.9370472153567861
C0007,C0106,0.7284153662374261
C0008,C0024,0.9247937414916475
C0008,C0098,0.9202483827255618
C0008,C0194,0.9139473145764543
C0009,C0198,0.9007686438743593
C0009,C0166,0.6492845195420205
C0009,C0062,0.6184065949250387
C0010,C0132,0.96393175507856
C0010,C0061,0.9255419144795322
C0010,C0103,0.7537995273877148
C0011,C0107,0.997218068681789
C0011,C0155,0.8962923600743752
C0011,C0192,0.8798334658035509
C0012,C0004,0.7734268962913052
C0012,C0148,0.7510665103909028
C0012,C0085,0.7124111753663699
C0013,C0087,0.9910133535196276
C0013,C0126,0.9557273457250678
C0013,C0155,0.9060346624057586
C0014,C0060,0.8657894007806402
C0014,C0151,0.774791636961049
C0014,C0062,0.7481635450974257
C0015,C0131,0.879590140059224
C0015,C0036,0.7784932825458901
C0015,C0038,0.7735675426807628
C0016,C0183,0.999740659954772
C0016,C0034,0.8988447251865016
C0016,C0049,0.7030155565650689
C0017,C0075,0.9511747522594814
C0017,C0051,0.9200481331644714
C0017,C0081,0.9167381881112591
C0018,C0035,0.8428329704875541
C0018,C0117,0.7668597206620106
C0018,C0065,0.7533157672809125
C0019,C0070,0.7869490421355996
C0019,C0119,0.7398740383754855
C0019,C0121,0.7348201232832307
C0020,C0050,0.7673984501673481
C0020,C0072,0.6758869747622143
C0020,C0058,0.6439954592339936
